"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6990441037439","65.4120803919394","65.5922044989044","65.7575038545753","65.5421799831416","65.0380909983066","65.0777711929721","65.2202195600519","65.3066515722373","65.5524470068429","65.6293343131963","66.0221307205105","66.2039792740438","66.0818352161107","65.9776663398053","65.5468495645693","65.0214662145502","64.5811031745726","64.2424140624034","63.7144267272228","63.3816355032654","62.675384944183","62.8045148020224","62.3619893135742","61.6776049909827","61.1393794268817","60.4561304244232","59.6179159097083","58.6855774742023","60.6829488822057","61.4042067999319","60.3860202116641","59.8930565156646","59.0028144115304","58.5288696378937",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8526138044479","66.5950677825285","66.7294078241985","67.0103810694947","65.8430571857872","65.4404006742238","65.0468853597701","64.9417696085727","64.8367180510842","64.7210629431284","66.9961789455607","63.5049401368218","62.8394275711376","63.1514980177471","61.0247961513476","60.4705012873518","57.65427441099","56.7573584681072","53.2652723644898","50.856581735692","51.8279022776025","49.2852172677609","48.2160966738469","46.5766389074044","46.9227364517276","47.4766914565572","47.7119564058148","49.4848934275388","51.2834767430896","53.7939670942137","74.4806014482023","74.3920902494415","73.4229189996267","73.8938839949861","74.6220196601876",
"Africa Western and Central","AFW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.6946152126864","54.4586043583342","54.4624940056996","54.3437119915044","54.2166653077255","53.8690556597549","53.4186766627473","52.9107908507127","52.5323819982053","52.3667432412637","51.9880244693228","51.7290739794454","51.3251601892059","50.7196129510414","50.2447838536165","49.6741564362197","49.0703256287934","48.287726598967","47.4076875499037","46.1708362801795","45.243881231043","43.6447811069932","42.046665153911","41.3153737359627","40.7865450035288","40.6392508136133","39.8755898876342","39.1383472182648","38.0491070776087","38.9131612705415","38.3243035559179","36.6274565972321","36.0276595961096","35.5241922915659","34.9893622703083",
"Angola","AGO","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9202491138172","32.6779676640911","33.2430541055863","33.8839420216694","33.6928507826693","33.5608541536348","33.2511103651039","32.885297639271","33.7210770617979","33.8195726787273","33.427061772338","33.4797821001749","33.5054362445337","33.7118790937204","35.5741989359009","37.1243142504659","38.6309154451968","40.2492962770392","41.8120339740358","45.6545471600003","49.5103184450258","52.9716771825031","56.4043448535894","59.7465872082276","59.4366255673819","59.4220093842132","59.3835284540239","59.6189993235512","59.5849860509371","60.9895868209849","61.3740739192677","56.7940515254703","56.5158217396881","56.2478837362061","55.9343526979619",
"Albania","ALB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1929375239894","48.4154832882765","49.3876922286976","49.9951122552055","52.4506650210732","56.5074534667574","54.6625961462215","56.0812277480804","58.2354394507947","57.7278645969844","57.7796088630248","57.1223218857181","57.4372602763156","57.6217181547791","57.988922487609","57.1511442221831","56.5580483583632","56.1667855122534","56.7790273703285","52.6381920433965","54.1734946905662","56.7985324706465","52.5963705268005","49.3629397516591","47.3498663035986","44.857341223923","42.0556274182427","41.9124730701079","41.2802429986711","41.0446542494486","39.665422047673","39.8023498297818","37.1836278906467","36.4496282294867","35.6844251557712",
"Andorra","AND","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.1874067072067","48.7240240028651","46.3325153858702","45.0945248745732","45.6062712961885","44.8345614323601","42.7297918988797","41.4075106359079","40.5239257141561","42.3341180974426","38.9699832134634","37.0105534291556","38.4860748699698","39.4884173731318","38.6211627303621","36.8142502647589","37.0682174241745","35.3584952636537","34.5966095222055","32.8543289476436","31.5641023748849","29.1193522630379","29.557638506181","28.7457471125056","26.7890505519696","25.5703835577278","24.862990991621","19.8677405663926","19.0396039162205","18.8421086802806","18.689033430776","17.2141211324409","14.4206130592267","14.1513272261395","13.6561243627801",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0512500349432056","0.0499341385930626","0.0491205831088576","0.0476534403550181","0.0461958423741863","0.0467286768838287","0.0470886331403073","0.0469851996621064","0.0470196273358679","0.0472061618162672","0.053547820049781","0.0605503962989421","0.0684644095496809","0.0772865656553783","0.086674664582806","0.0982192843742941","0.111082965479152","0.125922526997159","0.124799234314472","0.124905569672413","0.125151550705933","0.124344333757343","0.122309708401787","0.119922202753747","0.11708442039007","0.114570191885468","0.11151335201189","0.108971971300516","0.109319819089402","0.0956201741693349","0.0699916072703586","0.0667073209137472","0.0642242204583701","0.062006308467905","0.060221549001372",
"Argentina","ARG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88574552412191","7.65362510205676","7.24188064475219","7.00847421684767","6.79240791216754","6.64623068489882","6.42945656223441","6.26221803490557","6.11780742861693","5.97657257856442","5.92504986580616","5.84955645245576","5.52958869636871","5.29492196708944","5.02651132485848","4.79652898218025","4.57508200823997","4.38620338758528","4.32057876390422","4.09286259978896","4.1004172714728","3.99424220700286","3.88455415010314","3.84287481713665","3.73570176225836","3.6553651699508","3.56278572067775","3.53063690824815","3.46962065024176","4.20227948109119","4.09614704789845","4.00633720899631","3.90098277389007","3.77198885814207","3.63057660294577",
"Armenia","ARM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.308445310794","52.2071099224625","52.8791747430869","52.9786371610795","52.9831409187111","53.0180924225049","53.0070715088853","52.8845535128893","52.7568360142088","52.7354132928821","52.561591466868","52.1712152583816","50.8323276662334","49.4491623619208","47.8662268991834","46.2940440194532","44.6494958665838","44.2977446760892","44.2433823400256","44.197238954212","42.0696043916176","40.9197838664281","40.7373387769927","40.4777810768013","40.0086359759184","36.8732183462779","34.7926182761422","40.1302378358916","36.2489045697264","31.7234480463011","31.6145115901735","34.2376475244217","32.1685900617811","31.6494050895541","31.1683772691725",
"American Samoa","ASM","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.38895657585289","4.12230728091915","4.1843074252942","4.0011012123959","3.88933937676287","3.93803395500841","3.98648487406921","3.94158512586309","4.01915376117526","3.97820909719317","3.85875479780519","3.53235348848056","3.13422758680829","2.98569091376403","2.85893597106103","2.71858260779718","2.63478054795527","2.56086639480848","2.50151612851762","2.57104243267415","2.13127333520712","2.15951757007341","1.88242000410032","1.82967249030953","1.8521887942852","1.6834121958063","1.65617101888279","1.68025566277331","1.71958227352319","1.90776331823838","1.79625951800494","1.36252199887028","1.4894904876159","1.48970234705177","1.44490721687307",
"Austria","AUT","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19671322705251","7.79935380566092","7.6025697692071","7.33463422656416","7.52475784174267","7.88615177427585","7.10278067362816","6.64344088781357","6.37650241948072","5.83654590360317","5.75668854114084","5.56551658019333","5.2910542556609","5.10567184476363","5.28952305182533","5.28772110220449","5.6191633015381","5.41227422897346","5.41975121961159","5.16374532629737","4.6588886463432","4.24490764438789","4.18678064257231","4.56996577078654","4.21088829510302","3.92866160923074","3.6807732536071","3.28314631351275","3.18675377075295","3.37782239202953","3.39466783774995","3.18403953648711","2.58511700435661","2.39377156238975","2.32797846557653",
